level,n,y,p,gap,se,z,contrib,var
23782,2856,0.5248599439775911,0.5324159155351055,-0.007555971557514418,0.009336331709130759,-0.8093083871607537,0.2574805331122076,투수
23786,805,0.4546583850931677,0.48099222111742357,-0.026333836024255874,0.017609945818460992,-1.4953956301585771,0.8815149902815851,투수
23787,637,0.4599686028257457,0.48793755302953595,-0.027968950203790255,0.0198049554307092,-1.4122198003244235,0.7868597515564588,투수
23819,292,0.4246575342465753,0.4392619937184662,-0.014604459471890874,0.02904359586784565,-0.5028461192733907,0.09834661008674916,투수
23848,1002,0.5469061876247505,0.5411306672245271,0.005775520400223444,0.015742066031109437,0.36688452384902165,0.05277831654855135,투수
23853,269,0.49070631970260226,0.4935560173151922,-0.002849697612589963,0.030483006118722022,-0.09348479613497629,0.0034494940862437023,투수
23857,1105,0.4841628959276018,0.4975853534300479,-0.013422457502446083,0.015041245540329186,-0.8923767294707913,0.31436335917316044,투수
23858,502,0.4123505976095618,0.452116230557487,-0.039765632947925234,0.022213521268349034,-1.7901544049472855,1.2535021516221125,투수
23860,564,0.4326241134751773,0.4641695258388873,-0.03154541236371,0.020999669750923565,-1.5021861171089435,0.8862517166752795,투수
23869,707,0.43422913719943423,0.4845489666306206,-0.05031982943118635,0.01879545468420928,-2.6772339523907234,2.8268535002303783,투수
23871,920,0.45,0.4966473862295353,-0.04664738622953529,0.016484141258273785,-2.829834172048353,3.1611712484246426,투수
23893,431,0.4756380510440835,0.48935668346360117,-0.013718632419517651,0.02407869541009683,-0.5697415157203687,0.12808682988508852,투수
23902,825,0.4109090909090909,0.43187102042195813,-0.02096192951286724,0.017245410180477438,-1.2155077376238383,0.5724295287687065,투수
23903,2208,0.3990036231884058,0.41407136082926754,-0.015067737640861723,0.010482392694363839,-1.437433044171616,0.7915907961842202,투수
23904,322,0.40062111801242234,0.4382234198368818,-0.03760230182445945,0.02765041608659725,-1.3599181186530531,0.7189361166303211,투수
23929,840,0.5797619047619048,0.5468811501697103,0.03288075459219453,0.017175638816662238,1.9143832111965826,1.4340635759406664,투수
23932,607,0.49093904448105435,0.495536337138977,-0.004597292657922636,0.020293565243763963,-0.22653942777922395,0.02025809303329823,투수
23953,261,0.6130268199233716,0.511778008579412,0.10124881134395958,0.030940635193601594,3.2723572321778787,4.224992492814237,투수
23955,246,0.4715447154471545,0.4661135172430788,0.005431198204075671,0.03180553885688927,0.1707626532760108,0.011458611071762707,투수
23972,832,0.4182692307692308,0.4569267696909609,-0.03865753892173013,0.01726994028759082,-2.2384292173556153,1.9633480596769077,투수
23977,879,0.4641638225255973,0.4745524272119492,-0.010388604686351888,0.01684272497467275,-0.6168007078411453,0.14979898951117426,투수
23979,622,0.4646302250803859,0.4707873068923218,-0.006157081811935916,0.020013926765334224,-0.30763986918351727,0.03723452354122658,투수
23982,622,0.4855305466237942,0.4722913318871061,0.013239214736688099,0.02001736503821134,0.6613864867536579,0.17215530299496723,투수
24011,891,0.48035914702581367,0.47420600332358864,0.006153143702225028,0.016728326002223067,0.3678278209910138,0.053269348755175465,투수
24012,928,0.4536637931034483,0.45388751761088136,-0.00022372450743307626,0.016343353829770646,-0.013689020611274123,7.334671453868741e-05,투수
24013,1250,0.484,0.48875705655237073,-0.004757056552370742,0.014138559932967245,-0.33645976499194874,0.04466755793932075,투수
24020,775,0.43612903225806454,0.4659408039426167,-0.02981177168455218,0.017918812286530122,-1.6637135993082643,1.0876341696301677,투수
24026,500,0.432,0.47234654627328804,-0.04034654627328804,0.022326454554943764,-1.8071183749304287,1.2852520365615263,투수
24038,1630,0.4865030674846626,0.4670807002757818,0.019422367208880797,0.012357564428010635,1.571698640296507,0.9709514032572639,투수
24044,574,0.519163763066202,0.4529216023859834,0.06624216068021865,0.020776881101102897,3.1882629716113806,3.977282502465907,투수
24055,1294,0.48763523956723337,0.5190383289148527,-0.03140308934761932,0.01388953833432737,-2.2609167124013037,2.0150442780383866,투수
24056,412,0.5097087378640777,0.5102815370235203,-0.0005727991594426385,0.024628023445382216,-0.023258023962537643,0.00021345558754427626,투수
24063,1528,0.4574607329842932,0.4693359175003647,-0.011875184516071502,0.012767035484217626,-0.9301442398864941,0.34025902613363823,투수
24076,603,0.4660033167495854,0.44774431747083987,0.018258999278745525,0.020250067814861435,0.9016759571217497,0.3174510900698109,투수
24078,815,0.3852760736196319,0.440411347004009,-0.055135273384377126,0.017389411926756856,-3.1706232284681932,3.912210740420716,투수
24099,1083,0.4856879039704525,0.46702069348948966,0.018667210480962815,0.015160342314029884,1.2313185345219784,0.5959267396812244,투수
24100,457,0.4551422319474836,0.47883524464360006,-0.023693012696116456,0.023368050020786263,-1.013906281227622,0.40510009217688747,투수
